_id,Ministry,Ministere,Agency,Organisme,Position,Poste,Member / Membre,Term Start / Debut du mandat,Term End / Fin du mandat,Location / Emplacement
441,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Michelle Haigh,2020-12-03,2023-12-02T00:00:00,Burlington
442,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Jessica Belisle,2021-02-19,2024-02-18T00:00:00,Sault Ste Marie
443,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Andrew Cowan,2021-11-18,2024-11-17T00:00:00,Toronto
444,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),John Henderson,2021-12-31,2024-12-30T00:00:00,Thunder Bay
445,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Rick Webster,2022-02-09,2025-01-28T00:00:00,Minesing
446,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Nestor Prisco,2022-02-02,2025-02-01T00:00:00,NORTH BAY
447,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Justin Samlal,2022-02-12,2025-02-11T00:00:00,London
448,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Joan Middleton,2022-02-16,2025-02-15T00:00:00,Wingham
449,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),JP McAvoy,2022-02-16,2025-02-15T00:00:00,Ottawa
450,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Pamela  Munn,2022-02-16,2025-02-15T00:00:00,London
451,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),MANU RAJ,2022-02-23,2025-02-22T00:00:00,Bowmanville
452,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Edward (Ted) Markle,2022-03-17,2025-03-16T00:00:00,Coldwater
453,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Stewart Kiff,2022-03-17,2025-03-16T00:00:00,Toronto
454,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Brandon Postuma,2022-03-26,2025-03-25T00:00:00,Kakabeka Falls
455,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Hope Buset,2022-03-26,2025-03-25T00:00:00,Thunder Bay
456,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Michelle Zare,2022-03-29,2025-03-28T00:00:00,Dundas
457,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Nicholas Charitsis,2022-03-29,2025-03-28T00:00:00,Newmarket
458,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Omar  Farouk,2022-03-29,2025-03-28T00:00:00,BRAMPTON
459,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Danielle Bastarache,2022-04-01,2025-03-31T00:00:00,Toronto
460,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Lorraine Hirst,2022-04-07,2025-04-06T00:00:00,Brantford
461,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Deborah Turner,2022-04-24,2025-04-23T00:00:00,Little Current
462,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Terri-Lynn Collings,2022-04-29,2025-04-28T00:00:00,Ancaster
463,Attorney General,Ministère Du Procureur Général,Justices of the Peace Appointments Advisory Committee,Comité Consultatif Sur La Nomination Des Juges De Paix,Regional Member (Part-Time),Membre Régional (Temps Partiel),Marion Koepke,2022-07-06,2025-07-05T00:00:00,Owen Sound
464,Attorney General,Ministère Du Procureur Général,Justices of the Peace Review Council,Conseil D'évaluation Des Juges De Paix,Member (Part-Time),Membre (Temps Partiel),Lauren Rakowski,2019-06-26,2023-06-25T00:00:00,Toronto
465,Attorney General,Ministère Du Procureur Général,Justices of the Peace Review Council,Conseil D'évaluation Des Juges De Paix,Member (Part-Time),Membre (Temps Partiel),John Tzanis,2020-03-25,2024-03-24T00:00:00,Markham
466,Attorney General,Ministère Du Procureur Général,Justices of the Peace Review Council,Conseil D'évaluation Des Juges De Paix,Member (Part-Time),Membre (Temps Partiel),Naomi Solomon,2021-06-24,2025-06-23T00:00:00,Toronto
467,Attorney General,Ministère Du Procureur Général,Justices of the Peace Review Council,Conseil D'évaluation Des Juges De Paix,Member (Part-Time),Membre (Temps Partiel),George Nikolov,2021-12-16,2025-12-15T00:00:00,Toronto
468,Attorney General,Ministère Du Procureur Général,Justices of the Peace Review Council,Conseil D'évaluation Des Juges De Paix,Member (Part-Time),Membre (Temps Partiel),Bassam Azzi,2022-02-01,2026-01-31T00:00:00,Ottawa
469,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Dawn Sullivan,2021-06-24,2023-06-23T00:00:00,Ottawa
470,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Nicola Mulima,2021-12-22,2023-12-21T00:00:00,Ajax
471,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Troy Rossignol,2021-12-22,2023-12-21T00:00:00,Garson
472,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Egya Sangmuah,2019-08-13,2024-08-12T00:00:00,TORONTO
473,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Anna  Solomon,2022-01-31,2025-01-30T00:00:00,TORONTO
474,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Sean  Henry,2022-04-16,2025-04-15T00:00:00,Brampton
475,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Ruth Carey,2020-08-12,2025-08-11T00:00:00,TORONTO
476,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),,,,
477,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Jeanie Theoharis,2021-08-31,2023-05-26T00:00:00,Mississauga
478,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Ian Speers,2021-06-17,2023-06-16T00:00:00,Toronto
479,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Michelle Tan,2021-06-17,2023-06-16T00:00:00,Wasaga Beach
480,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Robert Patchett,2021-06-17,2023-06-16T00:00:00,Ottawa
481,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Patrick Shea,2022-02-10,2024-02-09T00:00:00,Toronto
482,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Sara Mintz,2022-09-29,2024-08-25T00:00:00,Toronto
483,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),,,,
484,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Sandra  Macchione,2020-01-01,2022-12-31T00:00:00,MISSISSAUGA
485,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Nancy Morris,2020-01-24,2023-01-23T00:00:00,North York
486,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Debbie  Mosaheb,2022-04-15,2023-04-14T00:00:00,TORONTO
487,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Jitewa Edu,2020-04-18,2023-04-17T00:00:00,LONDON
488,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Dana Wren,2021-06-10,2023-06-09T00:00:00,Brockville
489,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Greg Brocanier,2021-06-30,2023-06-29T00:00:00,Cobourg
490,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Peter Nicholson,2021-06-30,2023-06-29T00:00:00,Niagara Falls
491,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),STEVEN MASTORAS,2021-06-30,2023-06-29T00:00:00,TORONTO
492,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Fabio Quattrociocchi,2021-07-22,2023-07-21T00:00:00,Vaughan
493,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),HEATHER CHAPPLE,2021-07-22,2023-07-21T00:00:00,CALEDONIA
494,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Terri van Huisstede,2021-07-22,2023-07-21T00:00:00,Beamsville
495,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Kathleen Wells,2021-07-30,2023-07-29T00:00:00,Toronto
496,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Michael Di Salle,2021-08-20,2023-08-19T00:00:00,Sudbury
497,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Jagger Benham,2021-09-02,2023-09-01T00:00:00,Strathroy
498,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Percy Laryea,2021-09-29,2023-09-28T00:00:00,Brampton
499,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Harry Cho,2018-10-31,2023-10-30T00:00:00,Toronto
500,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Emily Robb,2021-12-09,2023-12-08T00:00:00,Oshawa
501,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Natalie James,2021-12-09,2023-12-08T00:00:00,Whitchurch-Stouffville
502,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Curtis  Begg,2022-01-06,2024-01-05T00:00:00,Oshawa
503,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),DONNA MARSHALL,2022-01-13,2024-01-12T00:00:00,BARRIE
504,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),John Benjamin Cashmore,2022-01-13,2024-01-12T00:00:00,Orangeville
505,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Poeme Manigat,2021-03-28,2024-03-27T00:00:00,Mississauga
506,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Sonia  Anwar-Ali,2021-04-18,2024-04-17T00:00:00,Toronto
507,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Alex Brkic,2021-10-25,2024-10-24T00:00:00,Toronto
508,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Renee Lang,2021-07-05,2025-01-04T00:00:00,TORONTO
509,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Diane Wade,2022-02-14,2025-02-13T00:00:00,Carlsbad Springs
510,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Richard Ferriss,2022-02-14,2025-02-13T00:00:00,Guelph
511,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),Khalid Akram,2022-06-25,2025-06-24T00:00:00,Amherstburg
512,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Full-Time),Membre (Plein Temps),,,,
513,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Lynn Mitchell,2020-01-01,2022-12-31T00:00:00,Carrying Place
514,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Shelby Whittick,2022-02-24,2022-12-31T00:00:00,Bowmanville
515,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Frank Ebner,2021-01-21,2023-01-20T00:00:00,London
516,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Trish  Carson,2021-01-21,2023-01-20T00:00:00,Severn
517,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Stephanie Kepman,2021-01-17,2023-01-23T00:00:00,Ottawa
518,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Cyndee Todgham Cherniak,2021-10-28,2023-03-24T00:00:00,Toronto
519,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),John Tzanis,2021-04-15,2023-04-14T00:00:00,Markham
520,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Amber Neumann,2021-04-29,2023-04-28T00:00:00,Burlington
521,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Susan Priest,2021-04-29,2023-04-28T00:00:00,Carrying Place
522,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Amanda Chapman,2021-05-13,2023-05-12T00:00:00,Barrie
523,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Alicia  Johnson,2021-07-08,2023-07-07T00:00:00,Mono
524,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Emile  Ramlochan,2021-07-08,2023-07-07T00:00:00,Toronto
525,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Manjot Grewal,2021-07-07,2023-07-07T00:00:00,Toronto
526,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),VLADISLAV Shustov,2021-07-08,2023-07-07T00:00:00,Richmond Hill
527,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Elle Venhola,2021-07-16,2023-07-15T00:00:00,Barrie
528,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Anthony Bruno,2021-07-23,2023-07-22T00:00:00,Mississauga
529,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Camille Tancioco,2021-07-23,2023-07-22T00:00:00,Hamilton
530,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Greg Joy,2021-07-23,2023-07-22T00:00:00,Ottawa
531,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Peter Pavlovic,2021-07-23,2023-07-22T00:00:00,Thornhill
532,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Rebecca Case,2021-07-23,2023-07-22T00:00:00,Toronto
533,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),PANOS PETRIDES,2021-07-30,2023-07-29T00:00:00,GRIMSBY
534,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Bryan Delorenzi,2021-08-19,2023-08-18T00:00:00,Windsor
535,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Inderdeep Padda,2021-08-19,2023-08-18T00:00:00,Hamilton
536,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Anita Lovrich,2021-09-02,2023-09-01T00:00:00,Guelph
537,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Daniel Berube,2021-10-14,2023-10-13T00:00:00,Haileybury
538,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Robert Brown,2021-10-14,2023-10-13T00:00:00,London
539,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Sheena Brar,2021-10-14,2023-10-13T00:00:00,Brampton
540,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Heather Kenny,2022-03-30,2023-11-17T00:00:00,Bowmanville
541,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),William (Bill) Greenberg,2021-12-16,2023-12-15T00:00:00,Smiths Falls
542,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Camille Clyne,2021-12-22,2023-12-21T00:00:00,Toronto
543,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Greg Witt,2021-12-22,2023-12-21T00:00:00,Ancaster
544,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Kelly Delaney,2021-12-22,2023-12-21T00:00:00,TORONTO
545,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Margo den Haan,2021-12-22,2023-12-21T00:00:00,Nepean
546,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Maria  Shaw,2021-12-22,2023-12-21T00:00:00,St. Catharines
547,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Supratip Mallick,2021-12-22,2023-12-21T00:00:00,Toronto
548,Attorney General,Ministère Du Procureur Général,Landlord and Tenant Board (Tribunals Ontario),Commission De La Location Immobilière (Tribunaux Decisionnels Ontario),Member (Part-Time),Membre (Temps Partiel),Amanda Kovats,2022-03-24,2024-03-23T00:00:00,Toronto
