 Amount ,Ministry,Category,Payment Detail,Recipient,Statutory,Additional Detail
" $995,772 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Barbra Schlifer Commemorative Clinic,No Value,No Value
" $379,244 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Batchewana First Nation Of Ojibways,No Value,No Value
" $393,110 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Bearskin Lake First Nation,No Value,No Value
" $2,088,462 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Beausoleil First Nation,No Value,No Value
" $170,107 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Beck Hearing Aid Centre Inc,No Value,No Value
" $3,316,628 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Beendigen Incorporated,No Value,No Value
" $1,536,794 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Bernadette Mccann House For Women Inc,No Value,No Value
" $2,689,357 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Beth Tikvah Foundation Of Hamilton,No Value,No Value
" $29,660,236 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Bethesda Community Services Inc,No Value,No Value
" $923,033 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Bethesda-House Of Mercy (Bowmanville),No Value,No Value
" $347,540 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Bethlehem Housing And Support Services,No Value,No Value
" $135,000 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Big Brothers Big Sisters Of Halton And Hamilton,No Value,No Value
" $152,000 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Big Brothers Big Sisters Of North Bay And District,No Value,No Value
" $160,000 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Big Brothers Big Sisters Of Peel Inc,No Value,No Value
" $1,133,970 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Big Grassy River First Nation,No Value,No Value
" $1,258,174 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Biidaaban Healing Lodge Inc,No Value,No Value
" $402,698 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Biigtigong Nishnaabeg,No Value,No Value
" $3,394,380 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Biinjitiwaabik Zaaging Anishinaabek First Nation,No Value,No Value
" $220,800 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Bimose Tribal Council Inc,No Value,No Value
" $487,113 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Bingwi Neyaashi Anishinaabek,No Value,No Value
" $1,792,539 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Board Of Health For Oxford Elgin St Thomas Health Unit,No Value,No Value
" $1,505,459 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Board Of Health For The Huron Perth Health Unit,No Value,No Value
" $2,866,490 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Board Of Health For The Northwestern Health Unit (O/A Northwestern Health Unit),No Value,No Value
" $11,511,122 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Bob Rumball Canadian Centre Of Excellence For The Deaf,No Value,No Value
" $202,547 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Boost Child & Youth Advocacy Centre,No Value,No Value
" $132,215 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Boys' & Girls' Club Of London,No Value,No Value
" $793,251 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Boys & Girls Club Of Ottawa,No Value,No Value
" $305,653 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Boys & Girls Clubs Of Kawartha Lakes,No Value,No Value
" $158,270 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Boys And Girls Club Of Brantford,No Value,No Value
" $585,233 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Boys And Girls Club Of Durham,No Value,No Value
" $271,808 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Brampton Multicultural Community Centre,No Value,No Value
" $28,621,600 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Brampton-Caledon Community Living,No Value,No Value
" $222,500 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Brands For Canada Ontario,No Value,No Value
" $409,752 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Brant & Brantford Local Housing Corp,No Value,No Value
" $1,030,735 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Brant County Health Unit,No Value,No Value
" $12,535,860 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Brantwood Residential Development Centre,No Value,No Value
" $527,700 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Bridgenorth Women's Mentorship & Advocacy Services,No Value,No Value
" $599,166 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Britannia Woods Community House,No Value,No Value
" $5,761,703 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Brockville & Area Community Living Association,No Value,No Value
" $3,536,363 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Brockville & District Assoc For Community Involvement/Special Needs,No Value,No Value
" $7,154,873 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Brockville And Area Centre For Developmentally Handicapped Persons Inc (O/A Developmental Services Of Leeds Grenville),No Value,No Value
" $368,169 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Brockville General Hospital,No Value,No Value
" $19,959,447 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Bruce Grey Child And Family Services,No Value,No Value
" $3,525,206 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Bruce Peninsula Association For Community Living,No Value,No Value
" $736,714 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Brunswick House First Nation,No Value,No Value
" $365,437 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Caldwell First Nation,No Value,No Value
" $4,258,842 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Camphill Communities Ontario Inc,No Value,No Value
" $320,485 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Back Institute Operating Limited Partnership,No Value,No Value
" $139,208 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Centre For Victims Of Torture,No Value,No Value
" $10,012,297 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Hearing Services Services Canadiens De L'Ouie,No Value,No Value
" $3,776,963 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Helen Keller Centre (Chkc),No Value,No Value
" $122,100 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Mental Health Association,No Value,No Value
" $1,292,351 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Mental Health Association Haliburton Kawartha Pine Ridge Branch,No Value,No Value
" $138,282 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Mental Health Association Ottawa-Carleton Branch,No Value,No Value
" $242,518 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Mental Health Association Thames Valley Addiction & Mental Health Services,No Value,No Value
" $418,296 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Mental Health Association Toronto Branch,No Value,No Value
" $8,059,768 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Mental Health Association Waterloo Wellington Branch,No Value,No Value
" $377,437 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,"Canadian Mental Health Association, Muskoka-Parry Sound Branch",No Value,No Value
" $151,486 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Mental Health Association-Simcoe County Branch,No Value,No Value
" $917,739 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Mothercraft Society,No Value,No Value
" $1,802,476 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadian Red Cross Society/La Societe Canadienne De La Croix-Rouge,No Value,No Value
" $306,327 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canadore College Of Applied Arts & Technology,No Value,No Value
" $21,258,335 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Canopy Support Services,No Value,No Value
" $326,774 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Carea Community Health Centre,No Value,No Value
" $340,000 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Career Dynamics Network Inc,No Value,No Value
" $663,412 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Career Services Of Brockville,No Value,No Value
" $400,000 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Careers For Inclusion Inc,No Value,No Value
" $1,736,429 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Caribbean African Canadian (Cafcan) Social Services,No Value,No Value
" $332,608 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Carizon Family And Community Services,No Value,No Value
" $2,459,953 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Cat Lake First Nation,No Value,No Value
" $211,459 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Catholic Centre For Immigrants Ottawa Centre Catholique Pour Immigrants Ottawa,No Value,No Value
" $23,519,883 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Catholic Children's Aid Society Of Hamilton,No Value,No Value
" $133,800 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Catholic Community Services Of York Region,No Value,No Value
" $652,831 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Catholic Cross Cultural Services,No Value,No Value
" $1,054,745 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Catholic Family Services Of Durham,No Value,No Value
" $2,251,191 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Catholic Family Services Of Hamilton,No Value,No Value
" $1,445,632 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Catholic Family Services Of Peel-Dufferin,No Value,No Value
" $697,165 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Catholic Family Services Of Toronto,No Value,No Value
" $46,283,276 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Catulpa Community Support Services Inc,No Value,No Value
" $284,668 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Causeway Work Centre,No Value,No Value
" $340,617 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Cedar Centre,No Value,No Value
" $831,727 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Cedar Heights Residential Living,No Value,No Value
" $427,802 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centennial Infant & Child Centre (For Children With Special Needs),No Value,No Value
" $2,457,723 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Central Toronto Youth Services,No Value,No Value
" $41,520,419 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Central West Specialized Developmental Services,No Value,No Value
" $576,616 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre De Counselling De Sudbury/Sudbury Counselling Centre,No Value,No Value
" $219,856 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre De Counselling Familial De Timmins Inc,No Value,No Value
" $623,763 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre De Ressources Familiales Sturgeon Falls Family Resource Centre,No Value,No Value
" $808,054 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre De Sante Communautaire Hamilton-Niagara Inc,No Value,No Value
" $381,000 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre De Services A L'Emploi De Prescott-Russell Inc,No Value,No Value
" $288,560 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre Des Services Communautaires De Vanier/Vanier Community Service Centre,No Value,No Value
" $990,711 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre For Addiction And Mental Health,No Value,No Value
" $297,987 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre For Immigrant And Community Services,No Value,No Value
" $1,291,381 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre For Opportunities Respect & Empowerment (Core),No Value,No Value
" $323,493 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre For Spanish Speaking Peoples,No Value,No Value
" $405,590 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre Francophone Du Grand Toronto,No Value,No Value
" $1,076,020 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre Pour Femmes Ellevive (O/A Villa Renouvellement),No Value,No Value
" $213,294 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centre Youville Centre Ottawa-Carleton Inc,No Value,No Value
" $134,406 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Centr'Elles Centre Des Femmes Francophones Du Nord-Ouest De L'Ontario,No Value,No Value
" $7,390,510 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Cerebral Palsy Parent Council Of Toronto,No Value,No Value
" $627,352 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Chapleau Hornepayne Algoma District Women In Crisis,No Value,No Value
" $1,498,779 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Chatham Kent Women's Centre Inc,No Value,No Value
" $19,192,782 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Chatham-Kent Children's Services,No Value,No Value
" $449,854 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Chiefs Of Ontario,No Value,No Value
" $11,768,709 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Child & Community Resources,No Value,No Value
" $1,636,387 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Child Development Institute,No Value,No Value
" $429,965 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Child Development Resource Connection Peel,No Value,No Value
" $48,076,610 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children & Family Services For York Region,No Value,No Value
" $1,118,132 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children First In Essex County,No Value,No Value
" $616,050 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Foundation Of Canada,No Value,No Value
" $19,620,629 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of Algoma,No Value,No Value
" $25,063,385 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of Brant,No Value,No Value
" $19,078,388 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of Haldimand-Norfolk,No Value,No Value
" $48,847,610 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of Hamilton,No Value,No Value
" $57,530,974 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of London And Middlesex,No Value,No Value
" $100,732,095 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of Ottawa,No Value,No Value
" $14,015,395 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of Oxford County,No Value,No Value
" $21,230,805 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of The City Of Guelph & The County Of Wellington,No Value,No Value
" $10,162,712 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of The County Of Dufferin (O/A Dufferin Child And Family Services),No Value,No Value
" $21,449,875 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of The District Of Nipissing And Parry Sound,No Value,No Value
" $26,062,885 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of The District Of Sudbury-Manitoulin,No Value,No Value
" $49,144,107 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of The Niagara Region,No Value,No Value
" $72,398,041 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of The Region Of Peel,No Value,No Value
" $20,341,924 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of The Regional Municipality Of Halton,No Value,No Value
" $53,378,921 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of The Regional Municipality Of Waterloo,No Value,No Value
" $20,000,905 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of The United Counties Of Stormont Dundas & Glengarry,No Value,No Value
" $14,802,228 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of Thunder Bay,No Value,No Value
" $161,071,094 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Aid Society Of Toronto,No Value,No Value
" $3,585,194 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Centre Thunder Bay,No Value,No Value
" $4,014,166 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Community Network/Reseau Communautaire Pour Enfants,No Value,No Value
" $52,817,605 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Hospital Of Eastern Ontario - Ottawa Children's Treatment Centre,No Value,No Value
" $205,138 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Mental Health Of Leeds And Grenville,No Value,No Value
" $430,000 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Mental Health Ontario,No Value,No Value
" $306,870 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Mental Health Services (Serving Children And Families In Hastings And Prince Edward Counties),No Value,No Value
" $171,737 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Services Council Of Victoria County,No Value,No Value
" $6,817,584 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Treatment Centre Of Chatham Kent,No Value,No Value
" $40,528,059 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Children's Treatment Network Of Simcoe York,No Value,No Value
" $881,138 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Chimo Youth & Family Services Inc,No Value,No Value
" $249,562 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Chippewas Of Georgina Island,No Value,No Value
" $292,859 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Chippewas Of Kettle & Stony Point First Nation,No Value,No Value
" $2,570,782 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Chippewas Of Nawash First Nation (O/A Chippewas Of Nawash Unceded First Nation),No Value,No Value
" $1,469,635 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Chippewas Of Rama First Nation,No Value,No Value
" $167,948 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Chippewas Of The Thames First Nation,No Value,No Value
" $11,215,168 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Choices Association Inc,No Value,No Value
" $168,619,051 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Christian Horizons,No Value,No Value
" $503,100 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,City Housing Hamilton,No Value,No Value
" $18,420,373 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,City Of Brantford,No Value,No Value
" $16,123,960 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,City Of Cornwall,No Value,No Value
" $30,201,990 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,City Of Greater Sudbury,No Value,No Value
" $102,292,999 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,City Of Hamilton,No Value,No Value
" $13,763,471 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,City Of Kawartha Lakes,No Value,No Value
" $23,298,995 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,City Of Kingston,No Value,No Value
" $165,754,425 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,City Of Ottawa,No Value,No Value
" $11,885,780 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,City Of St Thomas,No Value,No Value
" $6,847,685 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,City Of Stratford,No Value,No Value
" $770,261,391 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,City Of Toronto,No Value,No Value
" $15,416,649 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Clh Developmental Support Services,No Value,No Value
" $411,500 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Coachworx Ltd,No Value,No Value
" $4,533,039 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Cochrane Temiskaming Children's Treatment Centre,No Value,No Value
" $13,835,705 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Cochrane Temiskaming Resource Centre,No Value,No Value
" $256,509 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Colibri-Centre Des Femmes Francophones Du Comte De Simcoe,No Value,No Value
" $330,138 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,College Boreal D'Arts Appliques Et De Technologie,No Value,No Value
" $781,149 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Collingwood Crisis Centre,No Value,No Value
" $739,958 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Columbus House (Pembroke) Inc,No Value,No Value
" $432,654 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Common Ground Cooperative Inc Co-Op Employment Initiative,No Value,No Value
" $293,770 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Counselling And Resource Centre,No Value,No Value
" $1,675,043 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Counselling Centre Of Nipissing,No Value,No Value
" $160,000 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Counselling Services Of York Region,No Value,No Value
" $495,437 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Family Services Of Ontario,No Value,No Value
" $262,756 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Justice Initiatives Of Waterloo Region,No Value,No Value
" $2,293,720 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living - North Frontenac,No Value,No Value
" $4,161,176 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living - South Huron,No Value,No Value
" $5,938,325 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living - Stormont County,No Value,No Value
" $6,170,299 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Access Support Services,No Value,No Value
" $9,005,813 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Ajax-Pickering And Whitby,No Value,No Value
" $24,769,532 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Algoma,No Value,No Value
" $3,494,658 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living And Respite Services Northumberland,No Value,No Value
" $17,542,874 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Association For South Simcoe,No Value,No Value
" $5,470,732 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Association Of Lanark County,No Value,No Value
" $3,050,538 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Atikokan,No Value,No Value
" $14,209,036 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Belleville And Area,No Value,No Value
" $14,546,583 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Brant,No Value,No Value
" $19,352,191 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Burlington,No Value,No Value
" $19,500,628 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Cambridge,No Value,No Value
" $7,322,438 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Campbellford/Brighton,No Value,No Value
" $11,996,117 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Central York,No Value,No Value
" $15,473,803 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Chatham-Kent,No Value,No Value
" $10,546,345 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Dryden-Sioux Lookout,No Value,No Value
" $8,731,370 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Dufferin,No Value,No Value
" $5,610,242 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Dundas County,No Value,No Value
" $16,201,392 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Durham North,No Value,No Value
" $13,560,204 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Elgin,No Value,No Value
" $2,666,134 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Espanola,No Value,No Value
" $35,910,107 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Essex County,No Value,No Value
" $12,114,210 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Fort Erie,No Value,No Value
" $9,230,715 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Fort Frances And District,No Value,No Value
" $6,996,876 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Georgina,No Value,No Value
" $4,976,053 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Glengarry Inc-Integration Communautaire Glengarry Inc,No Value,No Value
" $13,365,861 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Greater Sudbury,No Value,No Value
" $9,954,420 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Grimsby Lincoln & West Lincoln,No Value,No Value
" $22,728,452 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Guelph Wellington,No Value,No Value
" $7,722,391 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Haldimand,No Value,No Value
" $10,292,993 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Hamilton,No Value,No Value
" $3,458,951 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Hanover And Area Harc Inc,No Value,No Value
" $5,307,364 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Huntsville,No Value,No Value
" $2,547,243 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Iroquois Falls L'Integration Communautaire D'Iroquois Falls,No Value,No Value
" $2,426,063 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Kincardine And District,No Value,No Value
" $19,680,971 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Kingston And District,No Value,No Value
" $6,253,808 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Kirkland Lake,No Value,No Value
" $3,196,164 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Lennox & Addington,No Value,No Value
" $26,549,748 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living London,No Value,No Value
" $3,433,178 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Manitoulin,No Value,No Value
" $3,086,949 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Mattawa/Integration Communautaire De Mattawa,No Value,No Value
" $2,340,930 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Meaford,No Value,No Value
" $36,291,856 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Mississauga,No Value,No Value
" $16,273,597 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living North Bay,No Value,No Value
" $4,585,493 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living North Grenville,No Value,No Value
" $17,428,883 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living North Halton,No Value,No Value
" $2,563,035 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living North Perth,No Value,No Value
" $15,256,984 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Oakville,No Value,No Value
" $1,117,618 ","Ministry Of Children, Community And Social Services",Transfer Payments,No Value,Community Living Ontario,No Value,No Value
